Rank,Restaurant_Name,Price,Address,Wepsite,lat,lng
2,Oriole,$$$$$,661 W. Walnut St.,https://www.oriolechicago.com,32.9162112,-96.63832190000001
5,Kasama,$$$$$,1001 N. Winchester Ave.,https://www.kasamachicago.com,41.8996892,-87.6756005
17,Ever,$$$$$,1340 W. Fulton St.,https://www.ever-restaurant.com,41.88693139999999,-87.6604084
10,Boka,$$$$$,1729 N. Halsted St.,https://www.bokachicago.com,41.9135658,-87.6479969
11,Kyoten/Kyoten Next Door,$$$$$,"Kyoten, 2507 W. Armitage Ave.; Kyoten Next Door, 2513 W. Armitage Ave.",https://kyotenchicago.com,41.9174501,-87.6903336
46,Shanghai Terrace,$$$$$,108 E. Superior St.,https://www.peninsula.com/en/chicago/hotel-fine-dining/shanghai-terrace-cantonese,41.8959106,-87.6252615
35,Bavette’s Bar & Boeuf,$$$$$,218 W. Kinzie St.,https://bavettessteakhouse.com,41.8893683,-87.6349487
40,Schwa,$$$$$,1466 N. Ashland Ave.,https://schwarestaurant.com,41.90893579999999,-87.66795789999999
28,Indienne,$$$$$,217 W. Huron St.,https://www.indiennechicago.com,41.8945578,-87.63506199999999
22,Atelier,$$$$$,4835 N. Western Ave.,https://www.atelier-chicago.com,41.9695938,-87.6886176
13,Warlord,$$$$,3198 N. Milwaukee Ave.,https://warlordchicago.com,41.9389249,-87.72398609999999
24,Perilla,$$$$,401 N. Milwaukee Ave.,https://perillachicago.com,41.889418,-87.6445196
41,Boeufhaus,$$$$,1012 N. Western Ave.,https://www.boeufhaus.com,41.89984159999999,-87.6874886
16,El Che Steakhouse & Bar,$$$$,845 W. Washington Blvd.,https://www.elchechicago.com,41.8828556,-87.6491952
3,Galit,$$$$,2429 N. Lincoln Ave.,https://www.galitrestaurant.com,41.9263409,-87.64946049999999
14,Elske,$$$$,1350 W. Randolph St.,https://elskerestaurant.com,41.8844715,-87.66092499999999
18,Obélix,$$$$,700 N. Sedgwick St.,https://www.obelixchicago.com,41.8949758,-87.63873339999999
1,Monteverde,$$$,1020 W. Madison St.,https://monteverdechicago.com,41.8819188,-87.6529673
15,John’s Food & Wine,$$$,2114 N. Halsted St.,https://www.johnsfoodandwine.com,41.9204421,-87.64892189999999
12,Hermosa Restaurant,$$$,4356 W. Armitage Ave.,https://www.hermosarestaurant.com,41.91728140000001,-87.736142
8,Shaw’s Crab House,$$$,21 E. Hubbard St.,https://www.shawscrabhouse.com/chicago-illinois,41.8899505,-87.6271084
4,Avec,$$$,615 W. Randolph St. | 141 W. Erie St.,https://www.avecrestaurant.com,,
6,Virtue,$$$,1462 E. 53rd St.,https://www.virtuerestaurant.com,41.7996712,-87.5893287
7,HaiSous Vietnamese Kitchen,$$$,1800 S. Carpenter St.,https://www.haisous.com,41.85786510000001,-87.6535415
9,Dear Margaret,$$$,2965 N. Lincoln Ave,https://www.dearmargaretchi.com,41.9358605,-87.6629129
20,Lula Cafe,$$$,2537 N. Kedzie Blvd.,https://www.lulacafe.com,41.9276433,-87.7068256
36,Ocean Grill and Bar,$$$,1826 S. Canal St.,https://oceangrillbarchicago.com,41.8567449,-87.6392754
43,Bayan Ko,$$$,1810 W. Montrose Ave.,https://bayankochicago.com,41.9616804,-87.6749614
37,Daisies,$$$,2375 N. Milwaukee Ave.,https://www.daisieschicago.com,41.9245434,-87.69951739999999
39,S.K.Y.,$$$,1239 W. 18th St.,https://www.skyrestaurantchicago.com,41.8578178,-87.657778
25,Superkhana International,$$$,3059 W. Diversey Ave.,https://www.superkhanachicago.com,41.9318344,-87.7048106
32,The Duck Inn,$$$,2701 S. Eleanor St.,https://theduckinnchicago.com,41.8444115,-87.6601292
30,The Loyalist,$$$,177 N. Ada St,https://www.smythandtheloyalist.com,41.8852146,-87.6605529
19,Sepia,$$$,123 N. Jefferson St.,https://www.sepiachicago.com,41.8839407,-87.6424277
42,New Village Gastro Pub,$$,3566 Milwaukee Ave.,https://www.newvillagepub.com,41.9453223,-87.73450249999999
38,Roux,$$,1055 E. 55th St.,https://rouxdiner.com,41.7948341,-87.6003897
44,Noon-O-Kabab,$$,4701 N. Kedzie Ave. | 242 Green Bay Rd.,https://www.noonokabab.com,,
45,Spacca Napoli,$$,1769 W. Sunnyside Ave.,https://www.spaccanapolipizzeria.com,41.9631956,-87.67373839999999
47,Daisy’s Po-Boy and Tavern,$$,5215 S. Harper Ave.,https://www.daisyspoboychicago.com,41.80043089999999,-87.5889202
21,Bungalow by Middle Brow,$$,2840 W. Armitage Ave.,https://www.middlebrowbeer.com,41.917786,-87.6988946
29,Demera,$$,4801 N. Broadway,https://www.demerachicago.com,41.9691296,-87.6594822
34,Lilac Tiger,$$,1742 W. Division St.,https://lilactigerchi.com,41.903512,-87.6717396
48,Dolo Restaurant and Bar,$$,2222 S. Archer Ave.,https://www.dolorestaurant.com,41.8525555,-87.6361052
33,Mitsuwa Marketplace Food Court,$,100 E. Algonquin Rd.,https://mitsuwa.com/ch,42.0448641,-87.98079249999999
27,Lem’s Bar-B-Q,$,311 E. 75th St.,https://lemsque.com,40.7704856,-73.95604019999999
26,Birrieria Zaragoza,$,4852 S. Pulaski Rd. | 4800 N. Broadway,https://www.birrieriazaragoza.com,,
23,La Chaparrita Grocery,$,2500 S. Whipple St.,https://www.facebook.com/LaChaparritaGrocery.1,41.8462599,-87.70177509999999
31,JT’s Genuine Sandwich Shop,$,3970 N. Elston Ave.,https://jtsgenuine.com,41.9531568,-87.7187423
49,Redhot Ranch,$,3057 N. Ashland Ave. | 2449 W. Armitage Ave. | 500 W. 35th St.,https://www.redhotranchchicago.com,,
50,Immm Rice & Beyond,$,4949 N. Broadway,https://immmchicago.com,41.9730306,-87.6595539
