Season,Episode,Name,Rating,Story,Director,Writers,Stars
5,15,The Friendship Contraction,7.7,"Leonard signs out of his roommate agreement, reducing himself and Sheldon to mere acquaintances, while Howard tries to think of a cool astronaut nickname for himself.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,16,The Vacation Solution,7.5,"When the university forces Sheldon to use vacation days, he decides to hang out in Amy's lab. Howard becomes upset when he hears Bernadette wants him to sign a prenuptial agreement.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,17,The Rothman Disintegration,7.8,Sheldon battles Kripke for a coveted office at the university. Penny receives a very unusual gift from Amy.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,18,The Werewolf Transformation,8.2,"Sheldon wreaks havoc when he tries to get a haircut from his regular barber, who is ill. Howard runs into a few problems with astronaut training.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,19,The Weekend Vortex,8.1,Sheldon has to choose between joining Amy at her aunt's birthday party or playing videogames all weekend with the guys.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Simon Helberg"
5,20,The Transporter Malfunction,8.1,Raj gets quite a surprise when he asks his parents to set him up on a date. Penny buys Leonard and Sheldon a pair of Star Trek keepsake collectibles.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,21,The Hawking Excitation,8.5,"Sheldon uses any and all means to meet his hero, Dr. Stephen Hawking.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,22,The Stag Convergence,7.7,"The guys throw Howard a bachelor party, and some embarrassing details about his life get posted on the Internet.",Peter Chakos,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,23,The Launch Acceleration,8.1,"NASA cancel, and later reinstate Howard's mission into space, coinciding with his wedding. Leonard inadvertently jeopardizes his relationship with Penny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,24,The Countdown Reflection,8.5,"As Howard prepares for his mission into space, flashbacks show the recent events leading up to his and Bernadette's wedding.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,1,The Date Night Variable,7.6,Raj crashes Sheldon and Amy's second anniversary and interferes in Leonard and Penny's relationship. Howard gets caught in the middle of an argument between Bernadette and his mother.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,2,The Decoupling Fluctuation,7.6,"Penny continues to have doubts about her relationship with Leonard. Meanwhile, Howard becomes the target of practical jokes on the space station.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,3,The Higgs Boson Observation,7.9,"When Sheldon hires a female grad student to assist him, a jealous Amy asks Penny to help her spy on them. On the space station, Howard begins behaving erratically.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,4,The Re-Entry Minimization,8.2,Howard is offended when his return from space is met with little fanfare. Penny and Amy take on Sheldon and Leonard during game night.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,5,The Holographic Excitation,8.0,"While Raj plans Stuart's Halloween party at the comic book store, Howard annoys the rest of the gang by constantly talking about space, and Penny tries to take more of an interest in Leonard's work.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,6,The Extract Obliteration,7.8,Penny enrolls in a college class and keeps it a secret from Leonard. Sheldon causes conflict with Dr. Stephen Hawking over an online game.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,7,The Habitation Configuration,7.6,"Howard makes a decision whether or not to move out of his mother's house, while Sheldon is caught in the middle of an argument between Amy and Wil Wheaton.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,8,The 43 Peculiarity,8.4,"Leonard feels threatened after hearing about Penny's study partner at school, while Howard and Raj become determined to find out one of Sheldon's secrets.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,9,The Parking Spot Escalation,8.2,The gang are drawn into a fight between Howard and Sheldon over Sheldon's vacant parking spot at the university.,Peter Chakos,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,10,The Fish Guts Displacement,8.0,"Howard tries to bond with Bernadette's father during a fishing trip. When Sheldon is obligated to take care of a sick Amy, she finds ways to take advantage of the situation.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,11,The Santa Simulation,7.8,The girls take Raj out to a nightclub to find him a date. A game of Dungeons and Dragons rekindle old memories of Santa for Sheldon.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,12,The Egg Salad Equivalency,8.4,"When Penny finds out Alex has a crush on Leonard, Sheldon gets himself and the rest of the guys in trouble with Human Resources whilst trying to solve the problem.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,13,The Bakersfield Expedition,8.4,"The guys are stranded in the middle of nowhere when Leonard's car is stolen on the way to the Bakersfield Comic-Con. Back home, the girls try to figure out why the guys are so fascinated with comic books.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,14,The Cooper/Kripke Inversion,7.7,Sheldon is forced to work with Kripke on a project and must concoct an elaborate lie when he can't hold up his end of the work. Howard and Raj get superhero figurines made of themselves.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,15,The Spoiler Alert Segmentation,8.2,"Leonard moves in with Penny after a fight with Sheldon, which causes Amy to want to move in with Sheldon. Meanwhile, Raj has a frightening experience with Howard's mother.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,16,The Tangible Affection Proof,7.8,"Sheldon gets Alex to buy a Valentine's Day gift for Amy. Leonard, Penny, Howard and Bernadette have a disastrous dinner together. Raj and Stuart host a ""Lonely People"" party at the comic book store.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,17,The Monster Isolation,7.6,"Raj falls apart after his date sneaks out on him, and Sheldon reluctantly returns the favor after Penny helps him out with his ""Fun With Flags"" program.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,18,The Contractual Obligation Implementation,7.7,"Leonard, Sheldon and Howard give lectures on science to junior high students. The girls ditch work to go to Disneyland. Raj devises a date for Lucy that fixes their social anxiety problems.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,19,The Closet Reconfiguration,8.1,Howard becomes upset when Sheldon finds a letter from his estranged father whilst cleaning out his and Bernadette's closet.,Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,20,The Tenure Turbulence,8.0,"Leonard, Sheldon, Raj and Kripke battle for tenure at the university.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,21,The Closure Alternative,8.0,Amy tries to help a depressed Sheldon find closure when one of his favorite TV shows is canceled. Raj becomes paranoid when he finds Lucy's blog.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,22,The Proton Resurgence,7.9,Bernadette and Howard offer to watch Raj's dog and live to regret it. Leonard and Sheldon hire their favorite childhood star to make an appearance.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,23,The Love Spell Potential,8.1,"A date between Raj and Lucy takes both of them out of their comfort zones. After a trip to Las Vegas goes awry, the girls join in on a Dungeons and Dragons game, which causes Amy and Sheldon to re-evaluate their relationship.",Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
6,24,The Bon Voyage Reaction,7.7,"Penny is thrown for a loop when Leonard is offered a job overseas, but the news is an even bigger shock to Sheldon. Raj and Lucy's relationship comes to a crossroad.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,1,The Hofstadter Insufficiency,7.7,Sheldon and Penny bond over missing Leonard. Howard tries to help Raj get over his breakup with Lucy. Amy and Bernadette take a trip together to a biology convention.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,2,The Deception Verification,7.9,Sheldon feels betrayed when Leonard returns from the North Sea and wants to spend his time with Penny instead of him. Howard's latest foray into helping his mother has some disastrous side effects.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,3,The Scavenger Vortex,8.7,The gang get competitive when they are forced to take part in Raj's scavenger hunt.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,4,The Raiders Minimization,7.8,"Sheldon gets mad at Amy for ruining one of his favorite movies, Raj and Stuart try to make their online dating profiles more appealing, and Leonard tries to play the sympathy card with Penny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,5,The Workplace Proximity,7.6,"After a fight with Bernadette, Howard ends up on Raj's couch. Sheldon and Amy clash when Amy takes a job at the university.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,6,The Romance Resonance,8.4,Howard plans something special to celebrate the anniversary of his first date with Bernadette. Sheldon is conflicted when he makes a major scientific breakthrough but some details have to be corrected.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,7,The Proton Displacement,7.7,"Sheldon seeks payback when Arthur ""Professor Proton"" Jeffries asks Leonard for help on a project instead of him. Raj gets upset at Howard for crashing his night with the girls.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,8,The Itchy Brain Simulation,7.5,"Sheldon demands Leonard make up for a mistake from their past. Penny confronts Raj's ex-girlfriend, Lucy.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,9,The Thanksgiving Decoupling,8.8,"The gang spend Thanksgiving at Mrs. Wolowitz's house. Howard tries to bond with his father-in-law, and a mistake from Penny's past comes back to haunt her.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,10,The Discovery Dissipation,7.6,Leonard has to deal with the fallout of disproving Sheldon's new scientific discovery. Raj spends a week at Howard and Bernadette's apartment.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,11,The Cooper Extraction,8.1,"While Sheldon is at home in Texas, the rest of the gang decorate for Christmas and think about how much he has affected their lives.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,12,The Hesitation Ramification,7.4,"After Leonard tries to help Penny following a failed role on a TV show, she makes an important decision. Meanwhile, Raj and Stuart try to practice their social skills, and Sheldon navigates the intricacies of being funny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,13,The Occupation Recalibration,7.5,Sheldon tries to relax after he is forced to take a vacation. Leonard struggles to be supportive of Penny after she quits her job. Amy receives unwanted attention from a co-worker. Bernadette seeks Stuart's help in replacing one of Howard's comic books.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,14,The Convention Conundrum,8.0,"When the guys can't get hold of any Comic-Con tickets, Sheldon tries to hold his own convention and ends up spending a wild night with James Earl Jones. Meanwhile, the girls try to feel more mature by going to a fancy hotel for tea.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,15,The Locomotive Manipulation,8.2,Sheldon and Amy take a train ride to Napa Valley with Howard and Bernadette on Valentine's Day. Leonard and Penny take Raj's dog to the vet when she accidentally eats some chocolate.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,16,The Table Polarization,7.6,"Leonard's purchase of a dining room table causes Sheldon to reevaluate the changes in his life. Meanwhile, Howard is offered a chance to go back to space and Bernadette struggles with whether or not to encourage him.",Gay Linvill,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,17,The Friendship Turbulence,7.4,"After arguing with Sheldon, Howard tries to make amends by taking him to NASA headquarters in Houston. Penny has second thoughts about quitting her waitressing job when her car dies. Amy gets involved in trying to find Raj a date.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,18,The Mommy Observation,7.4,"When Sheldon visits his mother in Houston, he is forced to confront a new reality. Back in Pasadena, the rest of the gang reluctantly take part in Raj's Murder Mystery party.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,19,The Indecision Amalgamation,8.1,"While Raj is wracked with guilt when he tries to date Lucy and Emily at the same time, Penny wrestles with whether to take a role in a cheesy movie and Sheldon is torn trying to choose between two gaming systems.",Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,20,The Relationship Diremption,8.0,"Penny tries to help Sheldon when he reconsiders his ""relationship"" with String Theory. During a dinner with Howard and Bernadette, Raj discovers Howard once embarrassed himself on a date with Emily.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,21,The Anything Can Happen Recurrence,7.5,"When Sheldon tries to be spontaneous, it leads to unexpected friction between some of the gang. Meanwhile, Raj seeks Howard's help in preparing for a date with Emily.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,22,The Proton Transmogrification,7.7,"As the gang celebrate Star Wars Day, Sheldon has difficulty dealing with the recent death of Arthur ""Professor Proton"" Jeffries.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,23,The Gorilla Dissolution,7.8,Penny gets fired from her movie and takes a serious look at her life. Raj sees Emily on a date with another man at the movies. Howard and Bernadette have to take care of his mother after she breaks her leg.,Peter Chakos,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
7,24,The Status Quo Combustion,8.0,"Sheldon gets upset about his career, the destruction of the comic book store and Leonard and Penny's future living arrangements. Howard and Bernadette struggle to keep hold of a caregiver for Mrs. Wolowitz.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,1,The Locomotion Interruption,7.2,"Sheldon's trip comes to an end when he is robbed, Penny interviews for a job at Bernadette's company, and Howard is weirded out by his mother's relationship with Stuart.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,2,The Junior Professor Solution,7.5,"Sheldon is forced to teach a class as a Junior Professor. Meanwhile, Amy plays both sides when tension arises between Penny and Bernadette.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,3,The First Pitch Insufficiency,7.0,"Howard becomes nervous after NASA asks him to throw out the first pitch at a Los Angeles Angels game. Meanwhile, Leonard and Penny try to prove Sheldon wrong when he says that he and Amy have a 'superior' relationship.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,4,The Hook-up Reverberation,7.2,"Raj's honesty about his past comes back to haunt him after Emily takes a dislike to Penny. Meanwhile, the guys consider investing in the comic book store.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,5,The Focus Attenuation,7.5,"The girls head to Las Vegas, while the guys try to invent something cool, but only come up with new ways to procrastinate.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,6,The Expedition Approximation,7.2,"Sheldon and Raj test whether they could survive a dark-matter research expedition in a salt mine by simulating the conditions in a steam tunnel. Meanwhile, Leonard and Penny seek advice from Howard and Bernadette when they argue about money.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,7,The Misinterpretation Agitation,7.7,"The guys befriend one of Penny's clients when he shows up at her apartment. Meanwhile, Bernadette gets upset when Amy torpedoes an article about her for a local magazine.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,8,The Prom Equivalency,8.0,"The girls decide to re-enact their high school proms with the guys. While Sheldon feels under pressure to commit to his relationship with Amy, Howard worries about who Stuart will bring as his date.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,9,The Septum Deviation,7.5,Sheldon panics when Leonard announces he has to go into the hospital for surgery. Raj discovers his parents have divorced.,Anthony Rich,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,10,The Champagne Reflection,7.0,"While Sheldon retires ""Fun With Flags"", Leonard, Howard and Raj look for something significant in a dead professor's research, and Bernadette finds out what her colleagues really think of her.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,11,The Clean Room Infiltration,7.4,"Amy hosts a traditional Victorian Christmas Eve dinner as Raj's father comes to visit, while the guys try to shoo out a bird they let into the university clean room.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,12,The Space Probe Disintegration,7.2,"Raj worries a probe he designed will not work in outer space, while Leonard and Sheldon go shopping with Penny and Amy.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,13,The Anxiety Optimization,7.4,"When Sheldon becomes stuck in a rut with his work, the gang try to help him by raising his stress levels. Howard teases Raj with a game called ""Emily or Cinnamon.""",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,14,The Troll Manifestation,8.0,"Leonard and Sheldon defend themselves against criticism from an online bully, while the girls confront embarrassing moments from their pasts.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,15,The Comic Book Store Regeneration,8.0,"Howard receives some shocking news as everyone prepares for the re-opening of the comic book store. Meanwhile, Penny tries to teach Sheldon how to ""let it go,"" but can't follow her own advice when she learns something infuriating about Amy.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,16,The Intimacy Acceleration,7.8,"Sheldon and Penny agree to participate in an unusual experiment. Leonard, Amy, Raj and Emily spend the evening trying to escape a room with a ""zombie"". Howard and Bernadette run into trouble at the airport after returning from Mrs. Wolowitz's funeral.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,17,The Colonization Application,7.5,"A trip to the pet store ends in a fight after Amy learns Sheldon has applied for a one-way mission to colonize Mars. Meanwhile, Leonard surprises Penny with a very ""adult"" purchase, and Raj gets into trouble when he snoops around Emily's apartment.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,18,The Leftover Thermalization,7.3,"Tension arises when a magazine fails to mention Leonard in an article about the paper he co-wrote with Sheldon, and a blackout at Mrs. Wolowitz's home leads to a final family dinner in her honor.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,19,The Skywalker Incursion,7.5,"When Leonard and Sheldon are invited to speak at UC Berkeley, they take a detour to try and meet one of their idols. Meanwhile, while cleaning out Mrs. Wolowitz's house, a ping pong battle ensues when Howard and Bernadette argue over the fate of his TARDIS.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,20,The Fortification Implementation,7.5,Howard meets the half-brother he never knew he had. Penny is invited to appear on Wil Wheaton's podcast.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,21,The Communication Deterioration,7.0,"When Raj is asked to create a message on the off chance a NASA mission discovers alien life, the guys fight over what he should do, while Penny contemplates returning to acting.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,22,The Graduation Transmission,7.3,Howard questions his engineering abilities when he and Sheldon can't get a toy drone to fly. A cancelled flight nearly prevents Leonard from giving the commencement address at his former high school. Raj pits his parents against each other when his father cuts him off financially.,Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,23,The Maternal Combustion,7.5,Personalities collide when Leonard and Sheldon's mothers meet for the first time. Bernadette reaches her limit with Howard and Stuart.,Anthony Rich,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
8,24,The Commitment Determination,7.9,"As Sheldon presses Leonard and Penny to set a wedding date, he encounters major changes in his relationship with Amy. Meanwhile, Raj wonders if he should break up with Emily, and Howard and Bernadette struggle to ask Stuart to move out.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,1,The Matrimonial Momentum,6.8,"Penny struggles with Leonard's confession that he kissed another woman as they prepare to get married in Las Vegas. Meanwhile, Sheldon doesn't know what to do after Amy pushes pause on their relationship.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,2,The Separation Oscillation,7.3,"Leonard and Penny try to work through their marital issues. Meanwhile, Sheldon films a special episode of ""Fun with Flags"" after his breakup with Amy, and Bernadette feels guilty about withholding a secret from Penny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,3,The Bachelor Party Corrosion,7.7,The guys's skills are put to the test when they get a flat tire on the way to Mexico for Leonard's bachelor party. The girls throw Penny a mini-bachelorette party.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,4,The 2003 Approximation,7.4,"An impending change to his living arrangements inspires Sheldon to revert to 2003, before he met Penny and Leonard. Raj and Howard form a band for the comic book store.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,5,The Perspiration Implementation,7.4,"Kripke expresses interest in Amy while leading a fencing lesson for the guys. Meanwhile, Stuart seeks help from the girls in getting more women interested in the comic book store.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,6,The Helium Insufficiency,7.2,"Leonard and Sheldon go to great lengths to secure the helium they need during a nation-wide shortage. Meanwhile, the rest of the gang try to find Amy a new boyfriend on a dating app.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,7,The Spock Resonance,7.9,,Nikki Lorre,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
9,8,The Mystery Date Observation,7.9,"Sheldon, Howard and Raj post an ad online to find a new girlfriend for Sheldon. Penny and Bernadette decide to spy when Amy is secretive about who she is dating.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco"
