기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
(주)로봇앤모어,False,업력 9년차,중소기업,10 명,"9억 2,366만원","5,215 만원","3,049만원","7,133만원"
(주)베이스스톤,False,업력 8년차,중소기업,3 명,"1,185만원","3,863 만원","2,584만원","5,495만원"
(주)에프엠,False,False,스타트업,6 명,False,"4,782 만원","3,069만원","6,159만원"
(주)스티그마,False,업력 2년차,중소기업,3 명,False,False,False,False
오랩스(주),False,업력 8년차,중소기업,False,"2억 5,188만원",False,False,False
(주)쿳션,False,업력 4년차,중소기업,20 명,"2억 4,927만원","3,619 만원","2,574만원","5,766만원"
(주)옐로펀트로봇,False,업력 4년차,중소기업,7 명,8억 691만원,"4,676 만원","3,060만원","5,995만원"
써니팩토리,False,False,중소기업,False,"12억 6,176만원",False,False,False
(주)페이텀,False,업력 24년차,중소기업,False,False,False,False,False
(주)레디츠,False,업력 5년차,중소기업,3 명,"2억 6,647만원","3,190 만원","2,381만원","5,439만원"
(주)케이피씨전자,False,업력 15년차,중소기업,5 명,"8억 2,921만원","4,224 만원","2,952만원","5,632만원"
(주)알오지스틱스,False,업력 3년차,중소기업,6 명,748만원,"4,591 만원","2,839만원","6,307만원"
(주)따따스튜디오,False,업력 12년차,중소기업,8 명,"3억 7,333만원","3,023 만원","2,442만원","4,991만원"
(주)새비로보틱스,False,업력 4년차,중소기업,3 명,False,"7,101 만원","3,927만원","7,682만원"
(주)유에이로보틱스,False,업력 5년차,중소기업,13 명,"4억 4,663만원","8,256 만원","3,994만원","9,288만원"
(주)아이오테드,False,업력 7년차,중소기업,11 명,"4억 9,440만원","5,027 만원","2,962만원","6,750만원"
(사)우리,False,업력 9년차,중소기업,3 명,"1억 5,744만원","4,207 만원","2,782만원","5,413만원"
(주)지엔디비즈,False,업력 14년차,중소기업,3 명,"11억 7,550만원",False,False,False
(주)디자인리퍼블릭,False,업력 13년차,중소기업,4 명,"4억 5,991만원","3,988 만원","2,722만원","5,604만원"
(주)나란,False,업력 17년차,스타트업,3 명,"6억 6,030만원","3,943 만원","2,592만원","6,109만원"
(주)라파비,False,업력 2년차,중소기업,0 명,4만원,False,False,False
(주)로보트론,False,업력 19년차,중소기업,3 명,"9억 2,942만원","3,598 만원","2,516만원","5,278만원"
(주)넷솔루션,False,업력 10년차,중소기업,False,2억 569만원,False,False,False
(주)주원테크놀러지,False,업력 11년차,중소기업,11 명,False,"7,792 만원","4,223만원","8,412만원"
(주)이드엠,False,업력 21년차,스타트업,8 명,"8억 1,651만원","4,612 만원","3,002만원","5,690만원"
(주)테스프,False,업력 3년차,중소기업,10 명,"1억 2,047만원","3,119 만원","2,447만원","4,696만원"
(주)지능로봇스튜디오,False,False,중소기업,4 명,"7억 3,569만원","4,233 만원","2,792만원","5,633만원"
(주)디웹스,False,업력 10년차,중소기업,3 명,"2억 8,038만원","3,762 만원","2,530만원","5,514만원"
(주)플롯팩토리,False,업력 4년차,중소기업,7 명,"6억 3,522만원","3,285 만원","2,543만원","5,373만원"
(주)에이아이에스,False,업력 9년차,중소기업,8 명,False,"5,467 만원","3,148만원","6,770만원"
(주)차로보틱스,False,업력 3년차,중소기업,5 명,"1억 9,141만원","3,446 만원","2,468만원","5,200만원"
(주)아디아랩,False,업력 7년차,중소기업,6 명,False,"4,135 만원","2,773만원","6,128만원"
마린로보틱스(주),False,업력 14년차,중소기업,8 명,"4억 5,250만원","2,384 만원","1,978만원","4,651만원"
(주)로보틱박스,False,업력 5년차,중소기업,9 명,"1억 7,674만원",False,False,False
(주)아이피엠로보틱스,False,업력 2년차,중소기업,7 명,False,False,False,False
하이젠파워(주),False,업력 7년차,중소기업,0 명,False,False,False,False
(주)로보슨,False,업력 3년차,중소기업,8 명,"1억 6,987만원","6,579 만원","3,916만원","7,181만원"
(주)다원메카트로닉스,False,업력 2년차,중소기업,5 명,False,False,False,False
(주)제이지파워넷,False,업력 8년차,중소기업,5 명,"8억 6,434만원","3,876 만원","2,694만원","6,032만원"
(주)무브투,False,업력 5년차,중소기업,8 명,"5억 6,916만원",False,False,False
(주)절벽의오른쪽,False,업력 8년차,중소기업,3 명,"2,678만원","2,749 만원","2,009만원","5,530만원"
인공지능과사람들(주),False,업력 9년차,중소기업,0 명,False,False,False,False
신라정보기술(주),False,False,중소기업,6 명,10억 196만원,"4,241 만원","2,940만원","5,918만원"
(주)르호봇알브이엠,False,업력 3년차,중소기업,4 명,False,"3,678 만원","2,648만원","5,325만원"
(주)우술,False,업력 2년차,중소기업,5 명,False,"3,141 만원","2,384만원","4,861만원"
(주)라이트테크,False,False,중소기업,3 명,"4억 9,306만원","8,947 만원","4,730만원","9,784만원"
(주)한아시스템,False,False,중소기업,False,"1억 9,099만원",False,False,False
(주)에이티엠솔루션,False,업력 12년차,중소기업,8 명,"6억 4,900만원","3,457 만원","2,563만원","5,769만원"
(주)도안앤텍,False,업력 8년차,중소기업,3 명,"4억 9,313만원","2,481 만원","1,917만원","4,877만원"
(주)내비오닉스코리아,False,업력 15년차,중소기업,False,False,False,False,False
(주)포어사이트,False,False,중소기업,3 명,2억 952만원,"5,093 만원","2,980만원","6,637만원"
넥스젠,False,False,중소기업,False,6억 145만원,False,False,False
쉐프로봇테크,False,False,중소기업,False,False,False,False,False
니즈로봇(주),False,업력 5년차,중소기업,3 명,"1억 4,165만원","3,536 만원","2,497만원","5,246만원"
(주)로보그램,False,업력 8년차,중소기업,3 명,"1억 3,794만원",False,False,False
(주)삼영기술,False,업력 9년차,중소기업,4 명,"6억 5,937만원","3,897 만원","2,595만원","5,289만원"
(주)아덴트로봇,False,업력 8년차,중소기업,7 명,"3억 5,838만원","4,149 만원","2,797만원","5,589만원"
(주)로닉,False,업력 4년차,중소기업,6 명,416만원,"3,104 만원","2,542만원","5,342만원"
(주)대덕로보트,False,업력 10년차,중소기업,False,"6,030만원",False,False,False
에스제이워터테크(주),False,업력 5년차,중소기업,7 명,False,"5,333 만원","3,241만원","6,176만원"
(주)아이알로봇,False,업력 23년차,중소기업,9 명,False,"4,292 만원","2,976만원","5,643만원"
(주)에이아이솔텍,False,업력 17년차,중소기업,5 명,"7억 4,804만원","4,619 만원","3,022만원","6,314만원"
드림가이드컴퍼니(주),False,업력 9년차,중소기업,6 명,"6억 1,495만원","2,824 만원","2,164만원","5,256만원"
(주)리맵,False,업력 6년차,중소기업,0 명,"6억 2,141만원",False,False,False
워킨위드,False,False,중소기업,False,"2억 6,673만원",False,False,False
(주)다비다,False,업력 7년차,중소기업,False,False,"5,231 만원","3,056만원","6,746만원"
두이엔지(주),False,업력 5년차,중소기업,4 명,"10억 4,177만원","3,183 만원","2,397만원","4,777만원"
(주)윔,False,업력 5년차,중소기업,8 명,4억 951만원,"4,600 만원","2,867만원","6,732만원"
(주)엣눅하다,False,업력 15년차,중소기업,3 명,"11억 3,811만원","3,430 만원","2,463만원","5,191만원"
주재영에이아이컴퍼니,False,False,중소기업,False,False,False,False,False
주원로보틱스,False,False,중소기업,False,False,False,False,False
(주)로보그램인공지능로봇연구소,False,업력 6년차,중소기업,3 명,"1억 7,384만원",False,False,False
세종뉴텍(주),False,업력 10년차,중소기업,3 명,"1억 4,516만원","4,126 만원","2,639만원","6,223만원"
(주)쓰리에이솔루션즈,False,업력 5년차,중소기업,4 명,"3억 1,870만원","6,723 만원","3,508만원","7,717만원"
(주)바이클립,False,업력 6년차,중소기업,0 명,"2,442만원",False,False,False
(주)이지텍,False,업력 16년차,중소기업,5 명,14억 41만원,"8,045 만원","4,626만원","8,303만원"
주신에코솔루션(주),False,업력 8년차,중소기업,5 명,"6억 3,696만원",False,False,False
(주)카이렌,False,업력 13년차,중소기업,0 명,"1억 3,682만원",False,False,False
(주)쓰리코엔지니어링,False,업력 7년차,중소기업,0 명,"14억 4,624만원",False,False,False
에스티앤아이,False,False,중소기업,False,"5억 6,715만원",False,False,False
에스에이치로보틱스,False,False,중소기업,False,"6억 9,452만원",False,False,False
플로리젠로보틱스(주),False,업력 4년차,중소기업,False,"9,759만원",False,False,False
(주)칼만텍,False,업력 5년차,중소기업,8 명,"2억 9,212만원","6,204 만원","3,635만원","6,977만원"
드론메이커스(주),False,업력 6년차,중소기업,3 명,"8,828만원",False,False,False
제이비소프트,False,False,중소기업,False,"3,477만원",False,False,False
(주)에이치오엔터테인먼트,False,업력 10년차,중소기업,6 명,"3억 5,506만원","4,925 만원","3,052만원","6,452만원"
(주)씨앤플러스,False,업력 14년차,중소기업,3 명,"1억 5,626만원","4,027 만원","2,665만원","5,908만원"
(주)티포엘,False,업력 9년차,중소기업,3 명,"9억 5,316만원","2,747 만원","2,032만원","4,975만원"
(주)에프티에스,False,업력 4년차,중소기업,4 명,"7억 9,001만원",False,False,False
(주)한국영상솔루션,False,업력 11년차,중소기업,0 명,"14억 4,165만원",False,False,False
(주)에스아이웨어,False,업력 8년차,중소기업,5 명,"14억 5,578만원","7,677 만원","4,471만원","7,990만원"
신진기술(주),False,업력 20년차,중소기업,5 명,"8억 3,868만원","3,790 만원","2,658만원","5,290만원"
(주)엘로이텍,False,업력 2년차,중소기업,False,False,False,False,False
(주)에스에스알,False,업력 11년차,중소기업,5 명,"10억 9,072만원","3,644 만원","2,636만원","5,308만원"
에프티 드론,False,False,중소기업,False,"1억 1,562만원",False,False,False
(주)짓필라엠,False,업력 3년차,중소기업,0 명,False,False,False,False
(주)테파로보틱스,False,업력 3년차,중소기업,5 명,"1,350만원","7,570 만원","3,779만원","8,340만원"
스마트시스템,False,업력 8년차,False,False,False,False,False,False
(주)프렉시온,False,업력 6년차,중소기업,3 명,"1억 8,288만원",False,False,False
엑시온랩스(주),False,False,중소기업,4 명,False,False,False,False
영산수도건설(주),False,업력 22년차,중소기업,10 명,"3억 6,247만원","4,852 만원","3,061만원","5,994만원"
(주)나우닷,False,업력 11년차,중소기업,3 명,"7억 8,700만원",False,False,False
(주)로보이,False,업력 10년차,중소기업,5 명,"2억 7,646만원","3,407 만원","2,546만원","5,743만원"
스마트로봇연구소(주),False,업력 9년차,중소기업,3 명,"5억 2,395만원","4,462 만원","2,806만원","5,957만원"
(주)유니아이,False,업력 5년차,중소기업,11 명,"3억 5,565만원","5,077 만원","2,974만원","6,777만원"
애그리펑션,False,False,중소기업,False,False,False,False,False
(주)마인드로,False,업력 5년차,중소기업,6 명,"1억 2,803만원","2,756 만원","2,117만원","5,019만원"
(주)디앤씨,False,업력 6년차,중소기업,5 명,"9억 5,357만원","3,876 만원","2,683만원","5,708만원"
(주)어반솔루션,False,업력 4년차,중소기업,4 명,False,"4,476 만원","2,792만원","6,509만원"
(주)엔에스로보텍,False,업력 6년차,중소기업,5 명,"3억 6,402만원",False,False,False
에이원랩,False,False,중소기업,False,False,False,False,False
(주)더린킨,False,업력 8년차,중소기업,False,"1억 8,560만원",False,False,False
글피,False,False,중소기업,False,"7억 1,043만원",False,False,False
(주)로비텍,False,업력 11년차,중소기업,4 명,"5억 2,981만원","3,978 만원","2,748만원","5,479만원"
(주)가온아이티,False,False,중소기업,4 명,"1억 8,447만원",False,False,False
효원,False,False,중소기업,False,"7억 8,569만원",False,False,False
지노테크,False,False,중소기업,False,"2억 6,221만원",False,False,False
모멘텀스카이(주),False,업력 11년차,중소기업,False,5만원,False,False,False
(주)로보플래닛,False,업력 15년차,중소기업,False,"8억 7,385만원",False,False,False
어반시드디자인협동조합,False,업력 8년차,중소기업,4 명,False,"3,776 만원","2,534만원","5,521만원"
(주)피두스젠,False,업력 8년차,중소기업,False,"2억 1,873만원",False,False,False
(주)알이랩,False,업력 5년차,중소기업,7 명,"6,257만원","2,322 만원","1,948만원","4,626만원"
이팩토리,False,False,중소기업,False,"3억 4,184만원",False,False,False
(주)에스피엘티,False,업력 3년차,중소기업,3 명,"5,676만원",False,False,False
(주)라온네트웍스,False,업력 10년차,중소기업,False,"3억 2,839만원",False,False,False
디티패스(주),False,업력 6년차,중소기업,5 명,"3억 6,904만원",False,False,False
(주)에스엔소프트,False,업력 11년차,중소기업,4 명,"8,639만원",False,False,False
라임랩(주),False,업력 9년차,중소기업,False,"1억 1,200만원",False,False,False
(주)에스엠제이,False,업력 15년차,중소기업,False,False,False,False,False
비앤디,False,False,중소기업,False,False,False,False,False
(주)거산테크,False,업력 9년차,중소기업,8 명,"4억 1,725만원","5,536 만원","3,354만원","6,542만원"
동아F.A,False,False,중소기업,False,"2억 4,831만원",False,False,False
디봄,False,False,중소기업,False,False,False,False,False
디와이오토메이션(주),False,업력 2년차,중소기업,5 명,False,False,False,False
산타마리아(SantaMaria),False,False,중소기업,False,4억 632만원,False,False,False
(주)엠엔지,False,업력 9년차,중소기업,False,"1,552만원",False,False,False
(주)링크투,False,업력 11년차,중소기업,3 명,"2억 1,189만원",False,False,False
다빈치창의융합연구소,False,False,중소기업,False,"1억 5,317만원",False,False,False
오토르(주),False,False,중소기업,False,False,False,False,False
모스트아이텍(주),False,업력 25년차,중소기업,False,False,False,False,False
(주)디로펫,False,업력 5년차,중소기업,3 명,"2억 4,954만원",False,False,False
도우마리(주),False,업력 7년차,중소기업,False,"3억 2,504만원",False,False,False
(주)러닝퓨처,False,업력 5년차,중소기업,3 명,False,False,False,False
미래항공기술(주),False,업력 10년차,중소기업,False,"3,759만원",False,False,False
이지정보통신,False,False,중소기업,False,"4억 2,298만원",False,False,False
(주)씨에스랩,False,업력 11년차,중소기업,False,"2억 9,211만원",False,False,False
(주)트루메카,False,업력 2년차,중소기업,6 명,False,"4,114 만원","2,612만원","5,351만원"
(주)도아로보틱스,False,업력 3년차,중소기업,False,False,False,False,False
(주)에이치엑스,False,False,중소기업,False,False,False,False,False
(주)아이알씨,False,업력 9년차,중소기업,False,"1억 4,197만원",False,False,False
(주)밸리언텍스,False,업력 8년차,중소기업,6 명,"9억 1,122만원","7,773 만원","4,504만원","8,097만원"
(주)시드크래프트,False,업력 4년차,중소기업,3 명,"2억 8,836만원",False,False,False
(주)피앤엘글로벌,False,업력 7년차,중소기업,3 명,"9억 9,955만원","6,885 만원","3,636만원","7,451만원"
(주)대경일렉,False,업력 4년차,중소기업,6 명,"2억 9,607만원","3,621 만원","2,628만원","5,296만원"
케이디엔알(주),False,업력 4년차,중소기업,5 명,False,False,False,False
(주)예솜,False,업력 2년차,중소기업,False,False,False,False,False
에이아이그릭,False,False,중소기업,False,False,False,False,False
(주)이로보텍,False,업력 9년차,중소기업,7 명,"10억 9,738만원","3,035 만원","2,446만원","4,965만원"
(주)제이알씨,False,업력 26년차,중소기업,False,"9,947만원",False,False,False
지플레인(주),False,업력 13년차,중소기업,False,"5억 9,695만원",False,False,False
(주)케이브,False,업력 9년차,중소기업,False,180만원,False,False,False
(주)가든테크,False,업력 2년차,중소기업,False,False,False,False,False
(주)리겔,False,업력 18년차,중소기업,False,"4억 5,191만원",False,False,False
(주)오렌지,False,업력 8년차,중소기업,3 명,"1억 8,872만원",False,False,False
핸드메이드,False,False,중소기업,False,False,False,False,False
월넛(주),False,업력 7년차,중소기업,False,False,False,False,False
제이엘유(주),False,업력 4년차,중소기업,False,False,False,False,False
꿈나무이야기,False,False,중소기업,False,"6,950만원",False,False,False
(주)제로클래스랩,False,업력 6년차,중소기업,0 명,False,False,False,False
(주)두성씨엔에이,False,업력 7년차,중소기업,3 명,False,False,False,False
(주)에이치엔알,False,False,중소기업,3 명,False,False,False,False
(주)에스브이티,False,업력 3년차,중소기업,6 명,False,False,False,False
월드지엔유,False,False,중소기업,False,False,False,False,False
윈드로로보틱스,False,False,중소기업,False,False,False,False,False
스팀메이커(SteamMaker),False,False,중소기업,False,False,False,False,False
(주)스카이드림,False,업력 4년차,중소기업,False,False,False,False,False
(주)티에스씨엠,False,업력 7년차,중소기업,3 명,"6억 1,138만원",False,False,False
(주)보라,False,업력 12년차,중소기업,3 명,"2,686만원",False,False,False
themasters,False,False,중소기업,False,"3억 1,526만원",False,False,False
(주)미담하이웍스,False,업력 7년차,중소기업,False,False,False,False,False
더컬쳐,False,False,중소기업,False,False,False,False,False
홍익팜,False,False,중소기업,False,False,False,False,False
한국농업기술지주(주),False,업력 9년차,중소기업,0 명,"10억 5,449만원",False,False,False
(주)로그틱스,False,업력 6년차,중소기업,3 명,"2억 4,907만원","3,138 만원","2,482만원","5,018만원"
케이제이피기술,False,False,중소기업,False,"4억 2,574만원",False,False,False
모두의VR,False,False,중소기업,False,"2,787만원",False,False,False
(주)에이엔케이이노베이션,False,업력 4년차,중소기업,False,"5,455만원",False,False,False
스터디랜드,False,False,기타,False,False,False,False,False
노아랩,False,False,중소기업,False,False,False,False,False
티엑스솔루션,False,False,중소기업,False,"8,556만원",False,False,False
(주)한다코퍼레이션,False,업력 3년차,중소기업,False,103만원,False,False,False
(주)시냅로봇,False,업력 4년차,중소기업,5 명,False,False,False,False
어크로스페이스에듀(유),False,업력 4년차,중소기업,False,False,False,False,False
다올메이커스,False,False,중소기업,False,False,False,False,False
(주)유캔맥스,False,False,중소기업,False,False,False,False,False
에스앤제이,False,False,중소기업,False,"2억 1,228만원",False,False,False
(주)유니로보틱스,False,업력 13년차,중소기업,5 명,"7억 2,670만원","3,180 만원","2,497만원","5,040만원"
(주)쉐어플랫,False,업력 3년차,중소기업,5 명,"3억 8,462만원","2,967 만원","2,404만원","5,312만원"
사회적협동조합이에스지,False,업력 6년차,기타,False,False,False,False,False
코스모스페이스,False,False,중소기업,False,False,False,False,False
(주)퀸트,False,업력 3년차,중소기업,3 명,"8,729만원","4,644 만원","2,883만원","6,570만원"
더케이볼트(주),False,업력 12년차,중소기업,3 명,"3억 2,083만원",False,False,False
(주)피엔에이,False,False,중소기업,4 명,"8억 2,473만원","4,093 만원","2,647만원","5,450만원"
(주)에이치솔루션,False,업력 2년차,중소기업,False,False,False,False,False
(주)지엔에스모바일언스,False,업력 10년차,중소기업,4 명,10억 91만원,"5,270 만원","3,087만원","6,648만원"
(주)메이크웨어,False,업력 3년차,중소기업,False,False,False,False,False
(주)엔이유에듀테인먼트,False,업력 5년차,중소기업,False,"2억 7,463만원",False,False,False
(주)에트로닉스,False,업력 2년차,중소기업,False,False,False,False,False
(주)리크라,False,업력 2년차,중소기업,False,False,False,False,False
네오3D솔루션,False,업력 12년차,중소기업,False,5억 43만원,False,False,False
홍익정보기술(주),False,업력 2년차,중소기업,4 명,False,False,False,False
(주)엘앤비에듀,False,업력 2년차,중소기업,False,False,False,False,False
(주)동아에프에이,False,업력 7년차,중소기업,3 명,"3억 1,400만원","4,117 만원","2,637만원","5,366만원"
훈민솔루션(주),False,업력 6년차,중소기업,3 명,"3억 1,648만원","4,719 만원","2,901만원","6,400만원"
아이투(주),False,업력 5년차,중소기업,4 명,11억 896만원,"3,372 만원","2,367만원","5,288만원"
넥스트퓨처(주),False,업력 10년차,중소기업,False,"1억 6,919만원",False,False,False
씨엔디엔(주),False,업력 12년차,중소기업,3 명,"3억 1,362만원","3,325 만원","2,471만원","5,430만원"
(주)비욘드로봇,False,업력 3년차,중소기업,False,False,False,False,False
